Unitats;UTM (X);Explotador/s;Denominació comercial;Superfície;Signatura;Inici d'activitat;Localitat;Municipi;Subgrup;Excepcions ratio turístic;Memoria descriptiva;Categoria;Hotel de ciutat;Places;Grup;Estat;UTM(Y);Direcció;longitude;latitude
16;510447.236666667;Mirllom Hosteleria, SL (B57959876);Boutique Hotel & Spa Forum Alcudia;326;H/2985;13/07/2018;Alcúdia;ALCÚDIA;Allotjaments;Excepció article 5.5 llei 8/2012, hotel de ciutat;;4 estrelles;Sí;32;Hotel;Alta;4411531.180000001;Carrer CRISTÒFOL COLOM, 2-4. 07400 ALCÚDIA, Mallorca;3.1221305513504185;39.853740450481965
99;;PROMOCIONES TURISTICAS DE CALA MILLOR, SL (B07160393);Protur Naisa Palma;1049;H/2989;02/01/2019;Palma;PALMA;Allotjaments;Excepció article 5.5 llei 8/2012, hotel de ciutat;;4 estrelles;Sí;198;Hotel;Alta;;Carrer Simó Ballester, 6. 07011 PALMA, Mallorca;;
77;539416.41952;Hotel Bellavista Mallorca, S.L. (B70806229);BELLAVISTA;;H/299;20/05/1958;Cala Rajada;CAPDEPERA;Allotjaments;;;3 estrelles;;134;Hotel;Alta;4395829.55427;Carrer MIQUEL GARAU, 30. 07590 Cala Rajada, CAPDEPERA, Mallorca;3.459837694366632;39.71142029804171
261;;BAY TOBAGO S.L.U (B10740454);FERGUS STYLE TOBAGO;0;H/2990;13/06/1970;Palmanova;CALVIÀ;Allotjaments;;;5 estrelles;;522;Hotel;Alta;;Carrer MARTIN ROS GARCIA, S/N. 07181 Palmanova, CALVIÀ, Mallorca;;
12;;MARINS PLAYA SA (A07158223);YARTAN BOUTIQUE HOTEL;941;H/2991;24/04/2019;Artà;ARTÀ;Allotjaments;Excepció article 5.5 llei 8/2012, hotel de ciutat;;4 estrelles;Sí;24;Hotel;Alta;;Carrer Hospital , 8. 07570 ARTÀ, Mallorca;;
256;459785.305241;AYOSA HOTELES, SL (B57815656);MELIÀ SOUTH BEACH;;H/2992;18/09/1972;Magaluf;CALVIÀ;Allotjaments;;;4 estrelles;;712;Hotel;Alta;4372883.78394;Avinguda NOTARI ALEMANY, 1. 07181 Magaluf, CALVIÀ, Mallorca;2.5322430382782346;39.50463909212224
252;;HOTELES ELBA BALEARES SLU (B16598849);ELBA SUNSET & THALASSO SPA;0;H/2993;12/01/1990;Magaluf;CALVIÀ;Allotjaments;Disposició transitòria primera de la Llei 6/2017 de 31 de juliol;;4 estrelles;;504;Hotel;Alta;;URB.TORRENOVA,25-27, S/N. 07181 Magaluf, CALVIÀ, Mallorca;;
275;509325.998338;MELIA HOTELS INTERNATIONAL, SA (A78304516);INNSIDE by Meliá Alcudia;;H/2994;05/10/1998;Port D´Alcúdia;ALCÚDIA;Allotjaments;;;4 estrelles;;542;Hotel;Alta;4408898.7792;PEDRO MAS REUS,S/N, S/N. 07410 Port D´Alcúdia, ALCÚDIA, Mallorca;3.1089855441052863;39.830035491474796
27;470080.95270000026;NEW MILLENIUM PALMA HOTELS SL (B66878091);ANTIGUA PALMA;436;H/2995;01/07/2019;Palma;PALMA;Allotjaments;Disposició transitòria primera de la Llei 6/2017 de 31 de juliol;;5 estrelles;Sí;54;Hotel;Alta;4379886.5831;Carrer SOL, 1. 07001 PALMA, Mallorca;2.6516791478665382;39.56815693341763
38;470137.34729999956;MOREY BASSA SL (B07807654);BASÍLICA;406;H/2996;11/06/2019;Palma;PALMA;Allotjaments;Disposició transitòria primera de la Llei 6/2017 de 31 de juliol;;4 estrelles;Sí;76;Hotel;Alta;4379956.211300001;Carrer CAN TRONCOSO, 3. 07001 PALMA, Mallorca;2.6523325554156045;39.568786270914636
11;506515.09609999973;CUROLLA SPACE SL (B16621286);Curolla;3223;H/2997;22/05/2019;Maria De La Salut;MARIA DE LA SALUT;Allotjaments;Excepció article 5.5 llei 8/2012, hotel de ciutat;;4 estrelles;Sí;22;Hotel;Alta;4391040.979;Carrer ANTONI MONJO, 18. 07519 MARIA DE LA SALUT, Mallorca;3.0759598802238686;39.66915961208403
27;;BAUMASOL SA (A07134448);CREU DE TAU;2995;H/2998;30/04/2019;Capdepera;CAPDEPERA;Allotjaments;Excepció article 5.5 llei 8/2012, hotel de ciutat;;4 estrelles Superior;Sí;54;Hotel;Alta;;Carrer Dones de la LLata, 7. 07580 CAPDEPERA, Mallorca;;
33;;Spread Grace SL (B57794729);El Llorenç Parc de la Mar;1840;H/2999;31/07/2019;Palma;PALMA;Allotjaments;Excepció article 5.5 llei 8/2012, turisme d´interior;;5 estrelles;Sí;66;Hotel;Alta;;Plaça de Llorenç de Villalonga, 4. 07001 PALMA, Mallorca;;
334;523625.490188;LEISURE TRIP AND TRAVEL S.L.U (B57916611);AluaSun Cala Antena;;H/3000;01/05/1968;Cales De Mallorca;MANACOR;Allotjaments;;;3 estrelles;;667;Hotel;Alta;4369034.03396;CALA ANTENA, S/N. 07689 Cales De Mallorca, MANACOR, Mallorca;3.2746660425845118;39.47056711736269
20;530158.103514;AMORÓS CERDÀ S.L. (B57733461);FORN NOU;0;H/3003;06/10/2013;Artà;ARTÀ;Allotjaments;Excepció article 5.5 llei 8/2012, hotel de ciutat;;4 estrelles;;40;Hotel;Alta;4393901.83392;Carrer CENTRE, 7. 07570 ARTÀ, Mallorca;3.351742844075448;39.69442887467731
18;501385.16170000006;ANTONIO MAURA 38,SL (B16555575);MON BOUTIQUE HOTEL;0;H/3004;07/04/2009;Pollença;POLLENÇA;Allotjaments;;;4 estrelles;;36;Hotel;Alta;4414056.7597;ANTONI MAURA, 38. -, -;3.0161982197698274;39.8765591154538
102;539416.41952;;HOTEL ILLOT SUITES;;H/3005;04/08/1992;Cala Rajada;CAPDEPERA;Allotjaments;;;4 estrelles;;194;Hotel;Baixa temporal;4395829.55427;Carrer HERNAN CORTES, 41. 07590 Cala Rajada, CAPDEPERA, Mallorca;3.459837694366632;39.71142029804171
28;;HOTEL ARS MAGNA SL (B16653586);Ars Magna Hotel;377;H/3006;29/03/2019;Palma;PALMA;Allotjaments;Excepció article 5.5 llei 8/2012, turisme d´interior;;4 estrelles;Sí;56;Hotel;Alta;;Carrer Blanquerna, 12. 07003 PALMA, Mallorca;;
